# gunzip -c exp/percgncopas5k/chain_s/tdnn1k_sp/decode_test_5g_400k/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/percgncopas5k/chain_s/tree_sp/graph_5g_400k 
# Started at Tue Mar 23 09:58:52 CET 2021
#
The total amount of data analyzed assuming 100 frames per second is 0.1 hours
Overall, lattice depth (10,50,90-percentile)=(6,23,74) and mean=33.1
Phone SIL accounts for 82.0% of frames, with lattice depth (10,50,90-percentile)=(7,23,75) and mean=33.5
Nonsilence phones as a group account for 18.0% of frames, with lattice depth (10,50,90-percentile)=(3,21,72) and mean=31.3
Phone t_E accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(5,24,82) and mean=35.4
Phone d_B accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(4,34,96) and mean=42.3
Phone n_E accounts for 1.0% of frames, with lattice depth (10,50,90-percentile)=(4,21,52) and mean=27.6
Phone s_B accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(3,15,57) and mean=24.9
Phone p_E accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(4,21,87) and mean=41.7
Phone Y+_B accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(7,21,50) and mean=26.3
Phone t_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(3,13,57) and mean=23.6
Phone O_B accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(4,21,81) and mean=35.8
Phone k_E accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(2,13,60) and mean=23.0
Phone a_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(3,14,46) and mean=21.0
Phone o_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(4,27,52) and mean=28.5
Phone p_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(5,21,46) and mean=24.9
Phone @_E accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(2,23,80) and mean=35.1
Phone G_B accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(7,29,40) and mean=25.3
# Accounting: time=1 threads=1
# Ended (code 0) at Tue Mar 23 09:58:53 CET 2021, elapsed time 1 seconds
